Project, Loss, Chain, Vulnerability, date, transactions
Stars Arena,                3000000.000000,                [43114],                Reentrancy,                1695481870000,                [{'txnHash': '0x49c5b3b414bf874689de9a5b98c55445659c2fd2ad6f8a3cdd4e0203937c395e', 'txnHashDate': 1695481870000, 'chainId': 43114}]
Balancer,                2000000.000000,                [1],                Precision Loss,                1693122959000,                [{'txnHash': '0x2a027c8b915c3737942f512fc5d26fd15752d0332353b3059de771a35a606c2d', 'txnHashDate': 1693122959000, 'chainId': 1}]
SVT,                400000.000000,                [56],                Flawed Price Calculation,                1693017649000,                [{'txnHash': '0xf2a0c957fef493af44f55b201fbc6d82db2e4a045c5c856bfe3d8cb80fa30c12', 'txnHashDate': 1693017649000, 'chainId': 56}]
Exactly Protocol,                7000000.000000,                [10],                Untrusted Input,                1692349893000,                [{'txnHash': '0xe8999fb57684856d637504f1f0082b69a3f7b34dd4e7597bea376c9466813585', 'txnHashDate': 1692349899000, 'chainId': 10}, {'txnHash': '0x1526acfb7062090bd5fed1b3821d1691c87f6c4fb294f56b5b921f0edf0cfad6', 'txnHashDate': 1692349895000, 'chainId': 10}, {'txnHash': '0x3d6367de5c191204b44b8a5cf975f257472087a9aadc59b5d744ffdef33a520e', 'txnHashDate': 1692349893000, 'chainId': 10}]
Zunami Protocol,                2000000.000000,                [1],                Flawed Price Dependency,                1691966087000,                [{'txnHash': '0x0788ba222970c7c68a738b0e08fb197e669e61f9b226ceec4cab9b85abe8cceb', 'txnHashDate': 1691966087000, 'chainId': 1}]
Earning.Farm,                286000.000000,                [1],                Reentrancy,                1691566463000,                [{'txnHash': '0x6e6e556a5685980317cb2afdb628ed4a845b3cbd1c98bdaffd0561cb2c4790fa', 'txnHashDate': 1691566463000, 'chainId': 1}]
LeetSwap,                630000.000000,                [8453],                Access Control Issue,                1690853541000,                [{'txnHash': '0xf0c2ed12a446713d6e38e7a4f0e05d45360ee9305b7d6e0b796fc44f848f6052', 'txnHashDate': 1690853541000, 'chainId': 8453}]
Curve,                60000000.000000,                [1],                Reentrancy,                1690722635000,                [{'txnHash': '0x006763dff653ecddfd3681181a29e7e6d6c2aaa7bafb27fe1376f3f7ce367c1e', 'txnHashDate': 1691200055000, 'chainId': 1}, {'txnHash': '0xe928d5de53bea42231d0dd140a3f761adb93081038a368591eb1166168297bdc', 'txnHashDate': 1690984475000, 'chainId': 1}, {'txnHash': '0xcd99fadd7e28a42a063e07d9d86f67c88e10a7afe5921bd28cd1124924ae2052', 'txnHashDate': 1690754447000, 'chainId': 1}, {'txnHash': '0x2e7dc8b2fb7e25fd00ed9565dcc0ad4546363171d5e00f196d48103983ae477c', 'txnHashDate': 1690744103000, 'chainId': 1}, {'txnHash': '0xb676d789bb8b66a08105c844a49c2bcffb400e5c1cfabd4bc30cca4bff3c9801', 'txnHashDate': 1690731287000, 'chainId': 1}, {'txnHash': '0xc93eb238ff42632525e990119d3edc7775299a70b56e54d83ec4f53736400964', 'txnHashDate': 1690728611000, 'chainId': 1}, {'txnHash': '0xa84aa065ce61dbb1eb50ab6ae67fc31a9da50dd2c74eefd561661bfce2f1620c', 'txnHashDate': 1690722635000, 'chainId': 1}]
Carson Token,                150000.000000,                [56],                Flawed Price Dependency,                1690393293000,                [{'txnHash': '0xcd781fec34b46f8c7372a9fcc7604c210b40442dc4f1a5c274fc3f9283df39ce', 'txnHashDate': 1690393293000, 'chainId': 56}, {'txnHash': '0xed52a42b2f45e4dea8d07f70d645931e4f6da65e9ab281cd3dbb9d9d21febb45', 'txnHashDate': 1690393164000, 'chainId': 56}, {'txnHash': '0x6a94a644856c3aa1db8249b700956379b6b3a18de9b8811566fbd56c89240a01', 'txnHashDate': 1690393053000, 'chainId': 56}, {'txnHash': '0x37d921a6bb0ecdd8f1ec918d795f9c354727a3ff6b0dba98a512fceb9662a3ac', 'txnHashDate': 1690392936000, 'chainId': 56}]
Palmswap,                900000.000000,                [56],                Flawed Price Dependency,                1690219418000,                [{'txnHash': '0x62dba55054fa628845fecded658ff5b1ec1c5823f1a5e0118601aa455a30eac9', 'txnHashDate': 1690219418000, 'chainId': 56}]
