Project, Loss, Vulnerability, Transactions, Date, Time, Chain
Arcadia Finance,400000,                Reentrancy,0xefc4ac015069fdf9946997be0459db44c0491221159220be782454c32ec2d651,0.44494213, 01:21,1
 , ,,0xca7c1a0fde444e1a68a8c2b8ae3fb76ec384d1f7ae9a50d26f8bfdd37c7a0afe,0.44494213, 01:16,10
CIVNFT,180000,                Access Control Issue,0x93a033917fcdbd5fe8ae24e9fe22f002949cba2f621a1c43a54f6519479caceb,0.361608796, 15:16,1
Shido,326000,                Business Logic Flaw,0x72f8dd2bcfe2c9fbf0d933678170417802ac8a0d8995ff9a56bfbabe3aa712d6,0.985914352, 23:00,56
Pawnfi,820000,                Untrusted Input,0xe855cc3bad87933bf742fd474bd0ae0ec58d45e9c1a0643b9700dafe8faf0864,0.735914352, 02:44,1
Sturdy,800000,                Flawed Price Dependency,0xeb87ebc0a18aca7d2a9ffcabf61aa69c9e8d3c6efade9e2303f8857717fb9eb7,0.527581019, 01:06,1
ERC20TokenBank,111000,                Flawed Price Dependency,0x578a195e05f04b19fd8af6358dc6407aa1add87c3167f053beb990d6b4735f26,31:05:2023 , 05:54,1
BabyDogeCoin,135000,                Lack Slippage Protection,0x098e7394a1733320e0887f0de22b18f5c71ee18d48a0f6d30c76890fb5c85375,28:05:2023 , 02:11,56
Jimbos Protocol,8000000,                Flawed Price Dependency,0x44a0f5650a038ab522087c02f734b80e6c748afb207995e757ed67ca037a5eda,28:05:2023 , 00:24,42161
 , ,,0x3c6e053faecd331883641c1d23c9d9d37d065e4f9c4086e94a3c34bf8702618a,28:05:2023 , 00:24,42161
 , ,,0xfda5464e97043a2d0093cbed6d0a64f6a86049f5e9608c014396a7390188670e,28:05:2023 , 00:24,42161
 , ,,0xf9baf8cee8973cf9700ae1b1f41c625d7a2abdbcbc222582d24a8f2f790d0b5a,28:05:2023 , 00:24,42161
GPT Token,155000,                Fee Machenism Exploitation,0xb77cb34cd01204bdad930d8c172af12462eef58dea16199185b77147d6533391,24:05:2023 , 16:00,56
CS Token,714000,                Business Logic Flaw,0x906394b2ee093720955a7d55bff1666f6cf6239e46bea8af99d6352b9687baa4,0.985219907, 16:43,56
SellToken,197000,                Flawed Price Dependency,0x7d04e953dad4c880ad72b655a9f56bc5638bf4908213ee9e74360e56fa8d7c6a,0.568553241, 07:12,56
SNK,197000,                Reward Calculation Error,0x7394f2520ff4e913321dd78f67dd84483e396eb7a25cbb02e06fe875fc47013a,0.443553241, 00:46,56
DEI,4500000,                Business Logic Flaw,0xb1141785b7b94eb37c39c37f0272744c6e79ca1517529fec3f4af59d4c3c37ef,0.235219907, 17:52,42161
Level Finance,1000000,                Business Logic Flaw,0xe1f257041872c075cbe6a1212827bc346df3def6d01a07914e4006ec43027165,0.068553241, 17:50,56
0vix Protocol,550000,                Flawed Price Dependency,0x10f2c28f5d6cd8d7b56210b4d5e0cece27e45a30808cd3d3443c05d4275bb008,28:04:2023 , 10:45,137
Hundred Finance,7000000,                Precision Loss,0x6e9ebcdebbabda04fa9f2e3bc21ea8b2e4fb4bf4f4670cb8483e2f0b2604f451,0.65119213, 14:12,10
yearnFinance,11000000,                Misconfiguration,0x8db0ef33024c47200d47d8e97b0fcfc4b51de1820dfb4e911f0e3fb0a4053138,0.567858796, 05:52,1
 , ,,0xd55e43c1602b28d4fd4667ee445d570c8f298f5401cf04e62ec329759ecda95d,0.567858796, 05:52,1
MetaPoint,820000,                Access Control Issue,0xccd12f22629b2c42d2b680362dadbd1b3d89cb4a87a8c9b297766b4974c6ad34,0.484525463, 19:49,56
Paribus,100000,                Reentrancy,0x0e29dcf4e9b211a811caf00fc8294024867bffe4ab2819cc1625d2e9d62390af,0.484525463, 10:15,42161
SushiSwap,3300000,                Untrusted Input,0x11d069cbe4490cc483b1ae2e77c9c79493213347b42a8dec2ded25724e2f1835,0.40119213, 02:38,1
 , ,,0x04b166e7b4ab5105a8e9c85f08f6346de1c66368687215b0e0b58d6e5002bc32,0.40119213, 02:35,1
 , ,,0x40be81f859227aa952e70fe1f5e8c84feed6aa3c2a4d6bf38125cd6bc222560a,0.40119213, 02:35,1
 , ,,0xbb9aac794415b2fbe2c947fe37ebb29c75526c150d33dd408ccddbcb52534828,0.40119213, 02:35,1
 , ,,0x6ac2d60c8f48144f2adb10ab161efdd491a791c6a666c450d4b33c6889fc0925,0.40119213, 02:35,1
 , ,,0xea3480f1f1d1f0b32283f8f282ce16403fe22ede35c0b71a732193e56c5c45e8,0.40119213, 02:35,1
 , ,,0x8e28bc58897f35e71b727f3066ae57b4d597014db6778bbf70838347c112e0e1,0.40119213, 02:35,1
 , ,,0x542838429f32b49d71264cc1036bb7cfd66824613ba0c437f7ce4269edb58f74,0.40119213, 02:35,1
 , ,,0x3610d3e3f2381c73f4bd128df9be90de87482802f30712dd555619b8bf3462a4,0.40119213, 02:35,1
 , ,,0x43ff7e01423044cfb501b4fe9ef1386725c0ddc117dadd6e6620cb68bdeaf4f9,0.40119213, 02:35,1
Sentiment,1000000,                Flawed Price Dependency,0xa9ff2b587e2741575daf893864710a5cbb44bb64ccdc487a100fa20741e0f74d,0.192858796, 17:50,42161
Low-Carb-Crusader,25000000,                Business Logic Flaw,0xef7f6864a93f8d10dd8fafbe75b041db8c282159fe43632c26a29f176894678e,0.109525463, 23:29,1
 , ,,0x8222caee8d1e1188f7a99af8315486a828aaf3432b6528a8e45b9f1bb73653e3,0.109525463, 23:29,1
 , ,,0x787980ae064cba2430213ffe14bff6fd71193983055725dcf185341bab68811e,0.109525463, 23:29,1
 , ,,0x454c858e7f7b11706335225c72b1eaee13a215e8657a4ae699669d6f1cd18550,0.109525463, 23:29,1
 , ,,0x2bb955b94aa5e2cc0854e23b58268d89aab93e17cb8b11c61996d875f1cc64f9,0.109525463, 23:29,1
 , ,,0x6957ccca95ad6a7f2d698a2362f4881591ff18f18cbc5edb149ce490521639a6,0.109525463, 23:29,1
 , ,,0xa34d79cbe9aef1bf07692885b353d85912523dfc4662611d33dd09ff6c319c85,0.109525463, 23:29,1
 , ,,0x4b2a2d03b3dc136ef94ebe2f3bc36231b104172bcb598104730898f7d81a55db,0.109525463, 23:29,1
Allbridge,550000,                Flawed Price Dependency,0x7ff1364c3b3b296b411965339ed956da5d17058f3164425ce800d64f1aef8210,0.067858796, 21:57,56
SafeMoon,8900000,                Access Control Issue,0x48e52a12cb297354a2a1c54cbc897cf3772328e7e71f51c9889bb8c5e533a934,28:03:2023 , 19:26,56
ParaSpace,7000000,                Flawed Price Dependency,0xe3f0d14cfb6076cabdc9057001c3fafe28767a192e88005bc37bd7d385a1116a,0.733831019, 05:48,1
Euler Finance,200000000,                Business Logic Flaw,0x3097830e9921e4063d334acb82f6a79374f76f0b1a8f857e89b89bc58df1f311,0.567164352, 09:08,1
 , ,,0x465a6780145f1efe3ab52f94c006065575712d2003d83d85481f3d110ed131d9,0.567164352, 09:04,1
 , ,,0x62bd3d31a7b75c098ccf28bc4d4af8c4a191b4b9e451fab4232258079e8b18c4,0.567164352, 09:04,1
 , ,,0x71a908be0bef6174bccc3d493becdfd28395d78898e355d451cb52f7bac38617,0.567164352, 09:03,1
 , ,,0x47ac3527d02e6b9631c77fad1cdee7bfa77a8a7bfd4880dccbda5146ace4088f,0.567164352, 08:56,1
 , ,,0xc310a0affe2169d1f6feec1c63dbc7f7c62a887fa48795d327d4d2da2d6b111d,0.567164352, 08:50,1
swapX,1000000,                Access Control Issue,0x3ee23c1585474eaa4f976313cafbc09461abb781d263547c8397788c68a00160,27:02:2023 , 06:25,56
EFVault,5100000,                Storage Collision,0x1fe5a53405d00ce2f3e15b214c7486c69cbc5bf165cf9596e86f797f62e81914,24:02:2023 , 05:50,1
Dexible,1500000,                Arbitrary Call,0x138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6,0.733136574, 04:20,1
Platypus,8500000,                Business Logic Flaw,0x1266a937c2ccd970e5d7929021eed3ec593a95c68a99b4920c2efa226679b430,0.691469907, 19:16,43114
dForce,3650000,                Flawed Price Dependency,0x6c19762186c9f32c81eb2a79420fc7ad4485aa916cab37ec278b216757bfba0d,0.399803241, 23:11,10
 , ,,0x5db5c2400ab56db697b3cc9aa02a05deab658e1438ce2f8692ca009cc45171dd,0.399803241, 23:10,42161
Orion Protocol,3000000,                Reentrancy,0xa6f63fcb6bec8818864d96a5b1bb19e8bd85ee37b2cc916412e720988440b2aa,0.108136574, 15:56,1
 , ,,0xfb153c572e304093023b4f9694ef39135b6ed5b2515453173e81ec02df2e2104,0.108136574, 15:40,56
BonqDAO,120000000,                Flawed Price Dependency,0xa02d0c3d16d6ee0e0b6a42c3cc91997c2b40c87d777136dedebe8ee0f47f32b1,0.066469907, 18:31,137
 , ,,0x31957ecc43774d19f54d9968e95c69c882468b46860f921668f2c55fadd51b19,0.066469907, 18:29,137
 , ,,0xd276b1ddff1bea52a8839c37976f4accb4751ca3f70092e66f88e53090452898,0.066469907, 05:41,137
Midas Capital,650000,                Flawed Price Dependency,0x0053490215baf541362fc78be0de98e3147f40223238d5b12512b3e26c0a2c2f,0.649108796, 17:43,137
BRA Token,224000,                Business Logic Flaw,0x4e5b2efa90c62f2b62925ebd7c10c953dc73c710ef06695eac3f36fe0f6b9348,0.440775463, 05:00,56
 , ,,0x6759db55a4edec4f6bedb5691fc42cf024be3a1a534ddcc7edd471ef205d4047,0.440775463, 04:40,56
GDS Token,180000,                Business Logic Flaw,0x2bb704e0d158594f7373ec6e53dc9da6c6639f269207da8dab883fc3b5bf6694,0.149108796, 00:21,56
